seed,simulation time,batch size,inference time,accuracy
0,1,1,24.040185689926147,9.74
0,5,1,74.04165434837341,81.74
0,10,1,135.263685464859,97.64
0,25,1,325.70318579673767,97.84
0,50,1,676.31842732448229,97.86
0,1,2,12.62324833869934,9.74
0,5,2,37.495323181152344,81.74
0,10,2,67.51483726501465,97.64
0,25,2,158.84947538375854,97.84
0,50,2,318.1642186641693,97.86
0,1,4,6.551769018173218,9.74
0,5,4,18.788408517837524,81.74
0,10,4,35.28416204452515,97.64
0,25,4,78.95178461074829,97.84
0,50,4,162.1299924850464,97.86
0,1,8,3.6844046115875244,9.74
0,5,8,10.364717483520508,81.74
0,10,8,18.031838178634644,97.64
0,25,8,43.043397665023804,97.84
0,50,8,84.59837102890015,97.86
0,1,16,2.1635138988494873,9.74
0,5,16,5.532409906387329,81.74
0,10,16,9.808968544006348,97.64
0,25,16,22.79148006439209,97.84
0,50,16,44.742634296417236,97.86
0,1,32,1.256807804107666,9.74
0,5,32,2.777960777282715,81.74
0,10,32,4.926714658737183,97.64
0,25,32,11.516279220581055,97.84
0,50,32,21.61393904685974,97.86
0,1,64,0.7827832698822021,9.74
0,5,64,1.4660701751708984,81.74
0,10,64,2.481429100036621,97.64
0,25,64,5.425693035125732,97.84
0,50,64,10.356232404708862,97.86
0,1,128,0.6532313823699951,9.74
0,5,128,0.9043722152709961,81.74
0,10,128,1.3491411209106445,97.64
0,25,128,2.9421379566192627,97.84
0,50,128,5.599186658859253,97.86
0,1,256,0.6179721355438232,9.74
0,5,256,0.7184004783630371,81.74
0,10,256,0.8932228088378906,97.64
0,25,256,1.7555925846099854,97.84
0,50,256,3.2011594772338867,97.86
0,1,512,0.5987048149108887,9.74
0,5,512,0.6754913330078125,81.74
0,10,512,0.8047943115234375,97.64
0,25,512,1.2038753032684326,97.84
0,50,512,2.1646363735198975,97.86
0,1,1024,0.6523747444152832,9.74
0,5,1024,0.7125880718231201,81.74
0,10,1024,0.7742414474487305,97.64
0,25,1024,1.0942928791046143,97.84
0,50,1024,1.8913583755493164,97.86
1,1,1,23.74123191833496,9.74
1,5,1,73.67174553871155,81.74
1,10,1,142.52829456329346,97.64
1,25,1,341.57495856285095,97.84
1,1,2,13.020316123962402,9.74
1,5,2,40.312727212905884,81.74
1,10,2,73.06682801246643,97.64
1,25,2,166.67555117607117,97.84
1,50,2,327.9446527957916,97.86
1,1,4,6.568097114562988,9.74
1,5,4,19.5576171875,81.74
1,10,4,35.06965184211731,97.64
1,25,4,81.68033933639526,97.84
1,50,4,159.0614194869995,97.86
1,1,8,3.568372964859009,9.74
1,5,8,9.90063762664795,81.74
1,10,8,18.197265148162842,97.64
1,25,8,43.61021685600281,97.84
1,50,8,81.40409016609192,97.86
1,1,16,1.956087350845337,9.74
1,5,16,5.080833673477173,81.74
1,10,16,9.225301742553711,97.64
1,25,16,22.022467851638794,97.84
1,50,16,41.14181113243103,97.86
1,1,32,1.187772274017334,9.74
1,5,32,2.6282122135162354,81.74
1,10,32,4.671178102493286,97.64
1,25,32,10.470654487609863,97.84
1,50,32,20.70936393737793,97.86
1,1,64,0.7947847843170166,9.74
1,5,64,1.418445110321045,81.74
1,10,64,2.504070997238159,97.64
1,25,64,5.656765699386597,97.84
1,50,64,10.584753274917603,97.86
1,1,128,0.6782650947570801,9.74
1,5,128,0.9135465621948242,81.74
1,10,128,1.3944580554962158,97.64
1,25,128,2.956653356552124,97.84
1,50,128,5.790909767150879,97.86
1,1,256,0.632249116897583,9.74
1,5,256,0.7467391490936279,81.74
1,10,256,1.0111470222473145,97.64
1,25,256,1.8153681755065918,97.84
1,50,256,3.337535858154297,97.86
1,1,512,0.6294856071472168,9.74
1,5,512,0.7300376892089844,81.74
1,10,512,0.8447582721710205,97.64
1,25,512,1.3396005630493164,97.84
1,50,512,2.125919818878174,97.86
1,1,1024,0.6742541790008545,9.74
1,5,1024,0.790494441986084,81.74
1,10,1024,0.7995052337646484,97.64
1,25,1024,1.2175168991088867,97.84
1,50,1024,1.8433866500854492,97.86
2,1,1,25.08872675895691,9.74
2,5,1,73.6085216999054,81.74
2,10,1,136.8854627609253,97.64
2,25,1,324.8510227203369,97.84
2,1,2,12.613216400146484,9.74
2,5,2,37.81058931350708,81.74
2,10,2,70.2127320766449,97.64
2,25,2,163.81709480285645,97.84
2,50,2,319.8317403793335,97.86
2,1,4,7.971876382827759,9.74
2,5,4,20.64644193649292,81.74
2,10,4,37.654990434646606,97.64
2,25,4,88.83161044120789,97.84
2,50,4,164.10104060173035,97.86
2,1,8,3.3510544300079346,9.74
2,5,8,9.571189403533936,81.74
2,10,8,17.45500111579895,97.64
2,25,8,40.23088097572327,97.84
2,50,8,77.65752840042114,97.86
2,1,16,1.8223531246185303,9.74
2,5,16,5.005473852157593,81.74
2,10,16,8.828531503677368,97.64
2,25,16,20.269460916519165,97.84
2,50,16,39.374749183654785,97.86
2,1,32,1.1765244007110596,9.74
2,5,32,2.588953733444214,81.74
2,10,32,4.5577874183654785,97.64
2,25,32,10.388954877853394,97.84
2,50,32,19.99607753753662,97.86
2,1,64,0.7947425842285156,9.74
2,5,64,1.410773515701294,81.74
2,10,64,2.4023547172546387,97.64
2,25,64,5.427006959915161,97.84
2,50,64,10.381733179092407,97.86
2,1,128,0.6558949947357178,9.74
2,5,128,0.8819286823272705,81.74
2,10,128,1.367924690246582,97.64
2,25,128,2.9680635929107666,97.84
2,50,128,5.538018465042114,97.86
2,1,256,0.6454663276672363,9.74
2,5,256,0.7182590961456299,81.74
2,10,256,0.9032323360443115,97.64
2,25,256,1.793492317199707,97.84
2,50,256,3.2012338638305664,97.86
2,1,512,0.6156189441680908,9.74
2,5,512,0.7278599739074707,81.74
2,10,512,0.8079180717468262,97.64
2,25,512,1.2393946647644043,97.84
2,50,512,2.075678586959839,97.86
2,1,1024,0.644312858581543,9.74
2,5,1024,0.75069260597229,81.74
2,10,1024,0.8053703308105469,97.64
2,25,1024,1.097090721130371,97.84
2,50,1024,1.7313804626464844,97.86
3,1,1,23.52828621864319,9.74
3,5,1,72.95375299453735,81.74
3,10,1,135.05436444282532,97.64
3,25,1,312.1090590953827,97.84
3,1,2,12.21475625038147,9.74
3,5,2,36.93190121650696,81.74
3,10,2,68.03194332122803,97.64
3,25,2,156.67661452293396,97.84
3,50,2,307.12436175346375,97.86
3,1,4,6.4038612842559814,9.74
3,5,4,18.565160751342773,81.74
3,10,4,34.29794788360596,97.64
3,25,4,78.6765730381012,97.84
3,50,4,153.27482914924622,97.86
3,1,8,3.3270742893218994,9.74
3,5,8,9.523715257644653,81.74
3,10,8,17.271782398223877,97.64
3,25,8,40.06037211418152,97.84
3,50,8,77.4162003993988,97.86
3,1,16,1.8276543617248535,9.74
3,5,16,4.911299228668213,81.74
3,10,16,8.816376447677612,97.64
3,25,16,20.210428476333618,97.84
3,50,16,39.04370951652527,97.86
3,1,32,1.1467094421386719,9.74
3,5,32,2.5652382373809814,81.74
3,10,32,4.534269571304321,97.64
3,25,32,10.34459376335144,97.84
3,50,32,19.840270519256592,97.86
3,1,64,0.769242525100708,9.74
3,5,64,1.4132206439971924,81.74
3,10,64,2.4442977905273438,97.64
3,25,64,5.4632673263549805,97.84
3,50,64,10.979054927825928,97.86
3,1,128,0.7491655349731445,9.74
3,5,128,0.8926444053649902,81.74
3,10,128,1.5687775611877441,97.64
3,25,128,3.1008968353271484,97.84
3,50,128,5.755546808242798,97.86
3,1,256,0.6243777275085449,9.74
3,5,256,0.7506542205810547,81.74
3,10,256,0.9235885143280029,97.64
3,25,256,1.951695203781128,97.84
3,50,256,3.3356897830963135,97.86
3,1,512,0.614649772644043,9.74
3,5,512,0.7639636993408203,81.74
3,10,512,0.8324165344238281,97.64
3,25,512,1.2391293048858643,97.84
3,50,512,2.1055638790130615,97.86
3,1,1024,0.6403155326843262,9.74
