seed,input neurons,output neurons,time,batch size,init time,data generation time,simulation time
0,100,1000,1000,1,0.021441221237182617,0.009152889251708984,0.893366813659668
0,100,1000,1000,2,0.00030684471130371094,0.0018115043640136719,0.5876412391662598
0,100,1000,1000,4,0.0003077983856201172,0.0022635459899902344,0.5901224613189697
0,100,1000,1000,8,0.00030875205993652344,0.0034127235412597656,0.592043399810791
0,100,1000,1000,16,0.00033020973205566406,0.005700588226318359,0.5926785469055176
0,100,1000,1000,32,0.0003273487091064453,0.010358810424804688,0.5958244800567627
0,100,1000,1000,64,0.0004875659942626953,0.019731998443603516,0.9270009994506836
0,100,1000,1000,128,0.0004794597625732422,0.03886604309082031,1.6278867721557617
0,100,1000,1000,256,0.000637054443359375,0.0773322582244873,3.1290721893310547
0,100,1000,1000,512,0.0008482933044433594,0.15161871910095215,6.087339878082275
0,100,1000,1000,1024,0.0015482902526855469,0.31244945526123047,11.99158525466919
1,100,1000,1000,1,0.0003108978271484375,0.0012557506561279297,0.8436710834503174
1,100,1000,1000,2,0.0003058910369873047,0.0015575885772705078,0.588996410369873
1,100,1000,1000,4,0.0003044605255126953,0.002149820327758789,0.5963900089263916
1,100,1000,1000,8,0.00039076805114746094,0.0033702850341796875,0.5994348526000977
1,100,1000,1000,16,0.00031280517578125,0.005615949630737305,0.5958702564239502
1,100,1000,1000,32,0.00032782554626464844,0.010615348815917969,0.5994725227355957
1,100,1000,1000,64,0.00040531158447265625,0.02116703987121582,0.9289638996124268
1,100,1000,1000,128,0.00041604042053222656,0.040688514709472656,1.6332669258117676
1,100,1000,1000,256,0.0005133152008056641,0.07889604568481445,3.1429550647735596
1,100,1000,1000,512,0.0008013248443603516,0.15441632270812988,6.08208966255188
1,100,1000,1000,1024,0.0015718936920166016,0.31374645233154297,12.317294120788574
2,100,1000,1000,1,0.000308990478515625,0.0014858245849609375,0.8492131233215332
2,100,1000,1000,2,0.0003070831298828125,0.0019109249114990234,0.6499559879302979
2,100,1000,1000,4,0.0004673004150390625,0.0023386478424072266,0.6291780471801758
2,100,1000,1000,8,0.00030875205993652344,0.003363370895385742,0.6005377769470215
2,100,1000,1000,16,0.00031113624572753906,0.005671501159667969,0.6295442581176758
2,100,1000,1000,32,0.0003936290740966797,0.011366605758666992,0.6631550788879395
2,100,1000,1000,64,0.0004634857177734375,0.0208432674407959,0.9540939331054688
2,100,1000,1000,128,0.0004341602325439453,0.04134798049926758,1.701772928237915
2,100,1000,1000,256,0.0006549358367919922,0.08185386657714844,3.2399075031280518
2,100,1000,1000,512,0.0009491443634033203,0.15651869773864746,6.107581853866577
2,100,1000,1000,1024,0.0017421245574951172,0.3150515556335449,12.32513952255249
3,100,1000,1000,1,0.00031065940856933594,0.0016469955444335938,0.8495640754699707
3,100,1000,1000,2,0.00031280517578125,0.0017380714416503906,0.6018168926239014
3,100,1000,1000,4,0.00030732154846191406,0.0022072792053222656,0.5937066078186035
3,100,1000,1000,8,0.0003113746643066406,0.0033402442932128906,0.6040306091308594
3,100,1000,1000,16,0.0003223419189453125,0.005663633346557617,0.6058254241943359
3,100,1000,1000,32,0.00048470497131347656,0.011207818984985352,0.6222856044769287
3,100,1000,1000,64,0.0004265308380126953,0.021291732788085938,0.9417726993560791
3,100,1000,1000,128,0.00043511390686035156,0.0435030460357666,1.656303882598877
3,100,1000,1000,256,0.022490501403808594,0.07858157157897949,3.232487678527832
3,100,1000,1000,512,0.025635957717895508,0.16379237174987793,6.293180227279663
3,100,1000,1000,1024,0.001814126968383789,0.3170444965362549,12.046096563339233
4,100,1000,1000,1,0.0003216266632080078,0.0013256072998046875,0.881425142288208
4,100,1000,1000,2,0.00031065940856933594,0.0015690326690673828,0.6274106502532959
4,100,1000,1000,4,0.00036406517028808594,0.0023441314697265625,0.6226317882537842
4,100,1000,1000,8,0.0003082752227783203,0.0034732818603515625,0.6317219734191895
4,100,1000,1000,16,0.00032067298889160156,0.005703449249267578,0.6853506565093994
4,100,1000,1000,32,0.00038242340087890625,0.011166810989379883,0.6966292858123779
4,100,1000,1000,64,0.011768341064453125,0.021714210510253906,0.9770207405090332
4,100,1000,1000,128,0.0004379749298095703,0.04117465019226074,1.697608470916748
4,100,1000,1000,256,0.03155159950256348,0.07913875579833984,3.1767678260803223
4,100,1000,1000,512,0.04020214080810547,0.16790294647216797,6.499814987182617
4,100,1000,1000,1024,0.04165530204772949,0.3431713581085205,12.855739116668701
5,100,1000,1000,1,0.00044918060302734375,0.0012769699096679688,0.922950029373169
5,100,1000,1000,2,0.0003058910369873047,0.0015931129455566406,0.6428020000457764
5,100,1000,1000,4,0.00033092498779296875,0.002274751663208008,0.6386528015136719
5,100,1000,1000,8,0.00031304359436035156,0.0039975643157958984,0.6423506736755371
5,100,1000,1000,16,0.00041985511779785156,0.0061528682708740234,0.643934965133667
5,100,1000,1000,32,0.00033020973205566406,0.012433290481567383,0.6844415664672852
5,100,1000,1000,64,0.0003991127014160156,0.021033048629760742,1.0098698139190674
5,100,1000,1000,128,0.0004684925079345703,0.0437319278717041,1.786407232284546
5,100,1000,1000,256,0.0006382465362548828,0.08487105369567871,3.3415298461914062
5,100,1000,1000,512,0.0009033679962158203,0.16512417793273926,6.526737451553345
5,100,1000,1000,1024,0.0016674995422363281,0.3372025489807129,12.694512128829956
6,100,1000,1000,1,0.0003180503845214844,0.0013251304626464844,0.902716875076294
6,100,1000,1000,2,0.0003063678741455078,0.0019078254699707031,0.6420078277587891
6,100,1000,1000,4,0.0003514289855957031,0.002355337142944336,0.644829511642456
6,100,1000,1000,8,0.0003123283386230469,0.003434896469116211,0.6541280746459961
6,100,1000,1000,16,0.0003788471221923828,0.00606536865234375,0.6625115871429443
6,100,1000,1000,32,0.0003304481506347656,0.010834455490112305,0.6635453701019287
6,100,1000,1000,64,0.0004055500030517578,0.02194380760192871,0.9820787906646729
6,100,1000,1000,128,0.0004525184631347656,0.04312276840209961,1.7378032207489014
6,100,1000,1000,256,0.0005717277526855469,0.08521699905395508,3.3359553813934326
6,100,1000,1000,512,0.02057361602783203,0.16424846649169922,6.468616008758545
6,100,1000,1000,1024,0.0016620159149169922,0.33379483222961426,12.767403602600098
7,100,1000,1000,1,0.00032830238342285156,0.0013813972473144531,0.9139537811279297
7,100,1000,1000,2,0.00032806396484375,0.0017125606536865234,0.6456067562103271
7,100,1000,1000,4,0.00031447410583496094,0.0027306079864501953,0.6702098846435547
7,100,1000,1000,8,0.00032019615173339844,0.0035903453826904297,0.6438901424407959
7,100,1000,1000,16,0.0003199577331542969,0.006018638610839844,0.6499185562133789
7,100,1000,1000,32,0.0003311634063720703,0.011402606964111328,0.660733699798584
7,100,1000,1000,64,0.0004343986511230469,0.02211928367614746,0.9878389835357666
7,100,1000,1000,128,0.0004832744598388672,0.043686628341674805,1.7444641590118408
7,100,1000,1000,256,0.0006043910980224609,0.0841987133026123,3.3662264347076416
7,100,1000,1000,512,0.0010428428649902344,0.15975689888000488,6.519164085388184
7,100,1000,1000,1024,0.008090496063232422,0.3257291316986084,12.241985321044922
8,100,1000,1000,1,0.0003075599670410156,0.0013048648834228516,0.864168643951416
8,100,1000,1000,2,0.0003020763397216797,0.001649618148803711,0.5996794700622559
8,100,1000,1000,4,0.00030922889709472656,0.002290010452270508,0.5910449028015137
8,100,1000,1000,8,0.0003077983856201172,0.003404378890991211,0.5898427963256836
8,100,1000,1000,16,0.00030612945556640625,0.0057353973388671875,0.5965497493743896
8,100,1000,1000,32,0.00035262107849121094,0.011426448822021484,0.6075212955474854
8,100,1000,1000,64,0.00039505958557128906,0.021437644958496094,0.9387145042419434
8,100,1000,1000,128,0.00043272972106933594,0.04117393493652344,1.689305067062378
8,100,1000,1000,256,0.0005602836608886719,0.08481144905090332,3.342059850692749
8,100,1000,1000,512,0.0010159015655517578,0.16532516479492188,6.147663831710815
8,100,1000,1000,1024,0.001718282699584961,0.3180723190307617,12.366564750671387
9,100,1000,1000,1,0.0003342628479003906,0.001338958740234375,0.8944098949432373
9,100,1000,1000,2,0.0003108978271484375,0.0016138553619384766,0.5981974601745605
9,100,1000,1000,4,0.0003368854522705078,0.0022242069244384766,0.5953066349029541
9,100,1000,1000,8,0.00037169456481933594,0.003480195999145508,0.5878505706787109
9,100,1000,1000,16,0.0003094673156738281,0.0056340694427490234,0.6044087409973145
9,100,1000,1000,32,0.0003256797790527344,0.011172294616699219,0.6066389083862305
9,100,1000,1000,64,0.010002374649047852,0.023966073989868164,0.9793410301208496
